id;text;link;comp;loc;desc;pub
p_adce8ef0113a4d28;Clerk of Work - Developer;/company/Asia-CC/jobs/Clerk-Work-adce8ef0113a4d28?fccid=783aab24a7bf9929&vjs=3;DD Online Services & Enterprise;Johor Bahru;*Candidate must willing to work at Desaru* (Hostel provided if needed) Job Descriptions * Assist Project Manager as client / developer's representative at...;1 day ago
p_b2af5f3c7d93ff06;Data Integration Consultant, EY Data and Analytics (Malaysia...;/rc/clk?jk=b2af5f3c7d93ff06&fccid=1544766d4c2915b0&vjs=3;EY;Kuala Lumpur;We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business...;1 day ago
p_4425df30909b457f;Project Architecture and Coordinator;/company/TG-Human-Resource/jobs/Project-Architecture-Coordinator-4425df30909b457f?fccid=3af34a852a42f138&vjs=3;TG Human Resource;Johor Bahru;Property developer/ construction/ consultant company:. Participate in overall project planning which include prepare, review and implement Master Project...;1 day ago
p_3257693d28e25d1f;Big Data Consultant, EY Data and Analytics (Malaysia);/rc/clk?jk=3257693d28e25d1f&fccid=1544766d4c2915b0&vjs=3;EY;Kuala Lumpur;We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business...;1 day ago
p_8f51bfe638439f58;Data Scientist Consultant, EY Data and Analytics (Malaysia);/rc/clk?jk=8f51bfe638439f58&fccid=1544766d4c2915b0&vjs=3;EY;Kuala Lumpur;We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business...;1 day ago
p_5083398b848a3af0;PROJECT SALES EXECUTIVE;/company/Line-Recruits/jobs/Project-Sales-Executive-5083398b848a3af0?fccid=d3bb783f07bd33ff&vjs=3;Line Recruits;Seri Kembangan;Marketing and promoting products to architects, interior designers, contractor, developers. To identify leads, handle queries, project liaison, prepare...;1 day ago
p_06928265b469c519;Lead Software Engineer;/rc/clk?jk=06928265b469c519&fccid=31670bef3ae6497b&vjs=3;Hays;Malaysia;You will be working with a team of developers and involved in higher level Backend Development with C# and ASP.NET....;1 day ago
p_042aa68df89af31c;Senior Finance Executive;/rc/clk?jk=042aa68df89af31c&fccid=9e275c2fcecf2d5b&vjs=3;PeopleSearch;Malaysia;Experiences of closing full sets of accounts with a property developer. Management of full sets of accounts to ensure accurate and timely completion of monthly...;1 day ago
p_103f2826142e95e3;Sales and Marketing Manager;/company/Geno-Management/jobs/Sales-Marketing-Manager-103f2826142e95e3?fccid=f8dc7b352f2e9e92&vjs=3;Geno Management;Johor Bahru;Maintain relationship with the Developers. Sales and Marketing Manager (Real Estate Agency)*....;1 day ago
p_21229871094a56af;Assistant Manager/Manager, Regulatory Reporting;/rc/clk?jk=21229871094a56af&fccid=f01c2f55ec3054bf&vjs=3;Robert Walters;Kuala Lumpur;Liaising with external vendor, internal system developer, internal data supplier and Finance business user for all matters related to automation issue....;1 day ago
p_80eb705f1184857a;Centre Manager, Kuala Lumpur;/rc/clk?jk=80eb705f1184857a&fccid=66e7a1598b302b88&vjs=3;Macdonald & Company;Malaysia;Our Client is an established international developer with presence in Singapore and overseas.They have an array of commercial, residential and retail assets and...;1 day ago
p_b9ceb776a04e6012;Regulatory Reporting Manager;/rc/clk?jk=b9ceb776a04e6012&fccid=31670bef3ae6497b&vjs=3;Hays;Malaysia;You will be joining as a Lead .NET developer . You will be joining a IT company going through digital transformation....;1 day ago
p_f646e96ded748bf0;project manager;/rc/clk?jk=f646e96ded748bf0&fccid=f8b265243da9f9d7&vjs=3;Randstad;Kuala Lumpur;Minimum 8 years of management experience either working for a commercial construction firm or a local developer....;1 day ago
