id;text;link;comp;loc;desc;pub
p_ca670b294fb83511;Full Stack Developer;/rc/clk?jk=ca670b294fb83511&fccid=1394a42c67e259ac&vjs=3;Hiredly.Com;Kuala Lumpur;-Develops and implements all internal communication systems, such as email and instant messaging -Develops and enhances a company's website to increase site...;3 days ago
p_8d10b36a3f7552e2;Data Engineer;/rc/clk?jk=8d10b36a3f7552e2&fccid=a04c79de88d57fb5&vjs=3;Mindvalley;Kuala Lumpur;What is Mindvalley? We build businesses that innovate on transformational education for all ages, through mediums that range from digital publishing,...;4 days ago
p_65c08bef726db0ae;Software Engineer;/company/Sophic-Automation-Sdn-Bhd/jobs/Software-Engineer-65c08bef726db0ae?fccid=4d1a916048546879&vjs=3;Sophic Automation Sdn Bhd;Bayan Lepas;Ms SQL Server, Python (client agents). Experience with oscilloscope, signal generator, DV board setup- Familiarity with System level (chip/package/board) co...;4 days ago
p_b29da654afcda185;STEAM Academy Instructor;/company/Telebort-Technologies-Sdn-Bhd-(1187681--V)/jobs/Steam-Academy-Instructor-b29da654afcda185?fccid=7c6c8f0e59fa8f65&vjs=3;Telebort Technologies Sdn Bhd (1187681-V);George Town;Do extra reading in relevant subject matters (e.g., Computer science, Scratch, MIT App Inventor 2, Web design, Python, etc.). About the role*....;4 days ago
p_de9b8f3fb0048c97;Business Analyst, Entitlements (6 months contract);/rc/clk?jk=de9b8f3fb0048c97&fccid=537b899e30af3338&vjs=3;RBC;Kuala Lumpur;Understanding of programming languages Python, R, Hadoop, VBA, SQL. What is the opportunity?...;4 days ago
p_3efa8b851af2b7ac;Business Analytics Specialist;/rc/clk?jk=3efa8b851af2b7ac&fccid=b79fa3ee18655a5a&vjs=3;Grab Taxi;Petaling Jaya;Experience using data and reporting tools such as SQL, Google Analytics, Python, R, Tableau, Holistics. Get to know our Team:....;4 days ago
p_a5f10cdb46223ace;Product Operations Senior Engineer;/rc/clk?jk=a5f10cdb46223ace&fccid=0918a251e6902f97&vjs=3;DELL;Bukit Mertajam;Basic knowledge of DOS batch file, UNIX shell scripting, Python, Perl, or other programming language. To provide manufacturing support in setting up and...;4 days ago
p_d3c5b574e8b1b5ff;Forensic Technology & Discovery Services, Senior Associate;/rc/clk?jk=d3c5b574e8b1b5ff&fccid=1544766d4c2915b0&vjs=3;Ernst & Young OM;Kuala Lumpur;Sound knowledge of programming VB.NET, C#.NET, PERL, Python or other programming experience. Our innovative Forensic Technology & Discovery Services (FTDS) team...;4 days ago
p_4c349033d3b1bdb1;Cyber Security Analyst;/rc/clk?jk=4c349033d3b1bdb1&fccid=befda219a593caaa&vjs=3;Ambition Group Singapore Pte Ltd;Malaysia;Experience in Network penetration testing and manipulation of network infrastructure and Shell scripting or automation of simple tasks using Perl, Python, or...;4 days ago
p_5b5fabad4c330c21;Forensic Technology & Discovery Services , Manager/Senior Ma...;/rc/clk?jk=5b5fabad4c330c21&fccid=1544766d4c2915b0&vjs=3;Ernst & Young OM;Kuala Lumpur;Sound knowledge of programming VB.NET, C#.NET, PERL, Python or other programming experience. Our innovative Forensic Technology & Discovery Services (FTDS) team...;4 days ago
p_0b20d43a46db55cb;Programmer, Robotic Process Automation (RPA), Cyberjaya;/rc/clk?jk=0b20d43a46db55cb&fccid=a9198a02cbf47d44&vjs=3;Agensi Pekerjaan Ideal Reliance;Cyberjaya;Knowledge of programming and Object Oriented Programming (OOP) basics - Java, Python, C++, Visual Basic, .NET, Ruby....;4 days ago
p_70e783b1d3d8feb6;IOS Developer;/rc/clk?jk=70e783b1d3d8feb6&fccid=f6ce40c91e89f80b&vjs=3;Diverse Lynx India;Kuala Lumpur;Good knowledge of Android, and server technologies like NodeJS, GoLang, Redis, Python, Perl& PHP. Good exposure in object oriented programming with Objective C ...;4 days ago
