id;text;link;comp;loc;desc;pub
p_92c78b79b7d52831;Structural Topside Engineer;/company/Anotech-Energy/jobs/Structural-Topside-Engineer-92c78b79b7d52831?fccid=6994d7ff24d54d6a&vjs=3;Anotech Energy;Malaysia;An exciting opportunity as a Structural Topside Engineer with a leading contractor providing services to oil & gas industry, land and offshore drilling,...;1 day ago
p_6326429bad9620e4;ELECTRONIC FIELD ENGINEER (SEREMBAN);/company/COMTECH-AUTOMATION-&-RESEARCH-SDN-BHD/jobs/Electronic-Field-Engineer-6326429bad9620e4?fccid=a0c5a0f5fc74389e&vjs=3;COMTECH AUTOMATION & RESEARCH SDN BHD;Seremban;-Candidate must possess at least a Degree in Engineering (Electrical/Electronic) or equivalent. -Good and analytical skill in troubleshooting in electronic...;1 day ago
p_deecb04de399e005;Lead Project Engineer;/company/Karitha-Global/jobs/Lead-Project-Engineer-deecb04de399e005?fccid=dac14be4cda0f0b9&vjs=3;Karitha Global;Shah Alam;*MNC in Industrial Gas / Petrochemical Industry Job Requirements:   Bachelor’s Degree in Engineering or above.  AT LEAST**5 years’ experience in...;1 day ago
p_4b980f253deb55f1;Structural Topside Senior Engineer;/company/Anotech-Energy/jobs/Structural-Topside-Senior-Engineer-4b980f253deb55f1?fccid=6994d7ff24d54d6a&vjs=3;Anotech Energy;Malaysia;An exciting opportunity as a Structural Topside Senior Engineer with a leading contractor providing services to oil & gas industry, land and offshore drilling...;1 day ago
p_3de43840f2eceaf8;Application Support Engineer;/company/Ambition-Group-Malaysia-Sdn-Bhd/jobs/Application-Support-Engineer-3de43840f2eceaf8?fccid=1380b5cb2e603049&vjs=3;Ambition Group Malaysia Sdn Bhd;Kuala Lumpur;A well-known financial institution seeks for Application Support Engineer. They are urgently hiring an Application Support Engineer at this juncture....;1 day ago
p_ca59e77cee1dd5a1;Engineer - Planner;/rc/clk?jk=ca59e77cee1dd5a1&fccid=9e0ac714251ed798&vjs=3;Aker Solutions;Kuala Lumpur;We are looking for Engineer - Planner. We engineer the products, systems and services required to unlock energy....;1 day ago
p_71a23bc17887c7fd;Controls & Instrumentation Engineer (Malaysian Only);/company/Karitha-Global/jobs/Control-Instrumentation-Engineer-71a23bc17887c7fd?fccid=dac14be4cda0f0b9&vjs=3;Karitha Global;Port Klang;*Multinational Company in Chemical & Gas Industry @ Pulau Indah, Klang Selangor Requirements:   Mainly responsible for the plant instrumentation and...;1 day ago
p_2e6b5d470006bb2f;Process Engineer;/rc/clk?jk=2e6b5d470006bb2f&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Set up and develop new process. Ensure robustness of process control to meet yield & thru-put expectation. Provide technical feedback or solution for...;1 day ago
p_eb01355cb33d2d70;Process Engineer;/rc/clk?jk=eb01355cb33d2d70&fccid=3928c6980e2c1466&vjs=3;HPS Partners Pte Ltd;Malaysia;Job Description Set up and develop new process. Ensure robustness of process control to meet yield & thru-put expectation. Provide technical feedback or...;1 day ago
p_bdda3ee8825f171e;Test Automation Engineer;/rc/clk?jk=bdda3ee8825f171e&fccid=16a2fd7c5035661c&vjs=3;Iprice Group Sdn Bhd;Kuala Lumpur;We are ready to take the next step and for that we are looking for a Test Automation Engineer who can drive quality through increasing delivery efficiency and...;1 day ago
p_103ef07671b09077;QA Engineers - Tebrau Industrial;/company/Asia-CC/jobs/QA-Engineer-103ef07671b09077?fccid=783aab24a7bf9929&vjs=3;DD Online Services & Enterprise;Johor Bahru;"Job Description 1. Ensure the Quality system management is always followed. 2. Handling customer complaint; i.e analysis and providing report. 3....";1 day ago
p_f9460d5fe45d6e51;Product Engineer;/rc/clk?jk=f9460d5fe45d6e51&fccid=763ea0d294a572c6&vjs=3;HPS Partners;Malaysia;Ensure NPI are successfully launched into production. Involved in development stage in various validation, handle the first article (FAI) build, and...;1 day ago
